date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:20	20726/20726	---M--	200	added ('OK')	image/png	etag:%2250f6-5666fae3d3928%22	http://elezioni2018.comune.venezia.it/immagini/451/15_1292_FRATELLIDITALIACONGIORGIAMELONI_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/15_1292_FRATELLIDITALIACONGIORGIAMELONI_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:22	19138/19138	---M--	200	added ('OK')	image/png	etag:%224ac2-5666fae3efa62%22	http://elezioni2018.comune.venezia.it/immagini/451/16_1293_NOICONLITALIAUDC_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/16_1293_NOICONLITALIAUDC_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:24	17601/17601	---M--	200	added ('OK')	image/png	etag:%2244c1-5666fae37de11%22	http://elezioni2018.comune.venezia.it/immagini/451/17_1291_FORZAITALIA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/17_1291_FORZAITALIA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:24	15594/15594	---M--	200	added ('OK')	image/png	etag:%223cea-5666fae36efc7%22	http://elezioni2018.comune.venezia.it/immagini/451/18_1290_LEGA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/18_1290_LEGA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:24	14167/14167	---M--	200	added ('OK')	image/png	etag:%223757-5666fae45bce2%22	http://elezioni2018.comune.venezia.it/immagini/451/01_1276_MOVIMENTO5STELLE_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/01_1276_MOVIMENTO5STELLE_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:24	13910/13910	---M--	200	added ('OK')	image/png	etag:%223656-5666fae3b7fbf%22	http://elezioni2018.comune.venezia.it/immagini/451/06_1282_PARTITODEMOCRATICO_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/06_1282_PARTITODEMOCRATICO_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:26	16033/16033	---M--	200	added ('OK')	image/png	etag:%223ea1-5666fae440b4a%22	http://elezioni2018.comune.venezia.it/immagini/451/07_1281_ITALIAEUROPAINSIEME_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/07_1281_ITALIAEUROPAINSIEME_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:28	18004/18004	---M--	200	added ('OK')	image/png	etag:%224654-5666fae38bcb5%22	http://elezioni2018.comune.venezia.it/immagini/451/09_1283_PIUEUROPA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/09_1283_PIUEUROPA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:28	16563/16563	---M--	200	added ('OK')	image/png	etag:%2240b3-5666fae361503%22	http://elezioni2018.comune.venezia.it/immagini/451/11_1286_LIBERIEUGUALI_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/11_1286_LIBERIEUGUALI_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:28	22575/22575	---M--	200	added ('OK')	image/png	etag:%22582f-5666fae411577%22	http://elezioni2018.comune.venezia.it/immagini/451/08_1284_CIVICAPOPOLARELORENZIN_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/08_1284_CIVICAPOPOLARELORENZIN_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:28	13571/13571	---M--	200	added ('OK')	image/png	etag:%223503-5666fae41ffd4%22	http://elezioni2018.comune.venezia.it/immagini/451/04_1279_POTEREALPOPOLO_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/04_1279_POTEREALPOPOLO_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:30	21809/21809	---M--	200	added ('OK')	image/png	etag:%225531-5666fae348e62%22	http://elezioni2018.comune.venezia.it/immagini/451/14_1289_ILPOPOLODELLAFAMIGLIA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/14_1289_ILPOPOLODELLAFAMIGLIA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:31	21077/21077	---M--	200	added ('OK')	image/png	etag:%225255-5666fae3c52b1%22	http://elezioni2018.comune.venezia.it/immagini/451/02_1277_ITALIAAGLIITALIANI_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/02_1277_ITALIAAGLIITALIANI_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:32	21777/21777	---M--	200	added ('OK')	image/png	etag:%225511-5666fae3e1bb9%22	http://elezioni2018.comune.venezia.it/immagini/451/13_1288_CASAPOUNDITALIA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/13_1288_CASAPOUNDITALIA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:32	20275/20275	---M--	200	added ('OK')	image/png	etag:%224f33-5666fae467c49%22	http://elezioni2018.comune.venezia.it/immagini/451/05_1280_GRANDENORD_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/05_1280_GRANDENORD_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:34	20858/20858	---M--	200	added ('OK')	image/png	etag:%22517a-5666fae402efd%22	http://elezioni2018.comune.venezia.it/immagini/451/10_1285_PERUNASINISTRARIVOLUZIONARIA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/10_1285_PERUNASINISTRARIVOLUZIONARIA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:34	17161/17161	---M--	200	added ('OK')	image/png	etag:%224309-5666fae42da95%22	http://elezioni2018.comune.venezia.it/immagini/451/12_1287_PARTITOVALOREUMANO_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/12_1287_PARTITOVALOREUMANO_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:34	17530/17530	---M--	200	added ('OK')	image/png	etag:%22447a-5666fae3a9947%22	http://elezioni2018.comune.venezia.it/immagini/451/03_1278_PARTITOREPUBBLICANOITALIANOALA_SIE.PNG	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/451/03_1278_PARTITOREPUBBLICANOITALIANOALA_SIE.png	(from http://elezioni2018.comune.venezia.it/)
11:34:35	12868/12868	---M--	200	added ('OK')	text/html	etag:%223244-5666fb18be972%22	http://elezioni2018.comune.venezia.it/build/assets/602e9d03.ttf?v2	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/build/assets/602e9d031b26.html	(from http://elezioni2018.comune.venezia.it/build/build.css)
11:34:35	19843/19843	---M--	200	added ('OK')	image/png	etag:%224d83-5666fae334259%22	http://elezioni2018.comune.venezia.it/immagini/logo/venis.png	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/immagini/logo/venis.png	(from http://elezioni2018.comune.venezia.it/)
11:34:36	39802/39802	---M--	200	added ('OK')	image/svg+xml	etag:%229b7a-5666fb18dd995%22	http://elezioni2018.comune.venezia.it/build/assets/cf91165a.svg?v2	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/build/assets/cf91165a1b26.svg	(from http://elezioni2018.comune.venezia.it/build/build.css)
